Environments,Algorithms,x1,reward,steps,time,episodes
Cartpolev0,DQN_CRL,0.04367814,1.0,247,105.17168521881104,13
Cartpolev0,DQN_CRL,0.038894013,1.0,248,105.64441466331482,13
Cartpolev0,DQN_CRL,0.030232804,1.0,249,106.08316326141357,13
Cartpolev0,DQN_CRL,0.017693557,1.0,250,106.5419192314148,13
Cartpolev0,DQN_CRL,0.009075321,1.0,251,106.96265912055969,13
Cartpolev0,DQN_CRL,0.0043753716,1.0,252,107.37842059135437,13
Cartpolev0,DQN_CRL,-0.004211141,1.0,253,107.78818488121033,13
Cartpolev0,DQN_CRL,-0.008881121,1.0,254,108.950519323349,13
Cartpolev0,DQN_CRL,-0.009636006,1.0,255,109.51219654083252,13
Cartpolev0,DQN_CRL,-0.014279469,1.0,256,110.05288672447205,13
Cartpolev0,DQN_CRL,-0.022809422,1.0,257,110.54860210418701,13
Cartpolev0,DQN_CRL,-0.027422432,1.0,258,111.00434374809265,13
Cartpolev0,DQN_CRL,-0.028119646,1.0,259,111.4131088256836,13
Cartpolev0,DQN_CRL,-0.024900822,1.0,260,111.84887671470642,13
Cartpolev0,DQN_CRL,-0.017764414,1.0,261,112.65439534187317,13
Cartpolev0,DQN_CRL,-0.014509797,1.0,262,113.2010817527771,13
Cartpolev0,DQN_CRL,-0.015129937,1.0,263,113.69679737091064,13
Cartpolev0,DQN_CRL,-0.011820991,1.0,264,114.19851040840149,13
Cartpolev0,DQN_CRL,-0.012379124,1.0,265,114.66224455833435,13
Cartpolev0,DQN_CRL,-0.016798154,1.0,266,115.13097643852234,13
Cartpolev0,DQN_CRL,-0.017280426,1.0,267,115.60070729255676,13
Cartpolev0,DQN_CRL,-0.021618105,1.0,268,116.02046537399292,13
Cartpolev0,DQN_CRL,-0.022015817,1.0,269,116.43222904205322,13
Cartpolev0,DQN_CRL,-0.01847345,1.0,270,116.87199640274048,13
Cartpolev0,DQN_CRL,-0.018776836,1.0,271,117.32371783256531,13
Cartpolev0,DQN_CRL,0.03622464,1.0,272,117.69650435447693,14
